Package Name,Description, Dependencies, Category, URL, How to install
dnsd.flare,.NET string deobfuscator, , dotNet, http://progress-tools.x10.mx/dnsd.html, cinst -y dnsd.flare
dnspy.flare,.NET decompiler and debugger, common.fireeye - https://chocolatey.org/packages//dotnet4.7.2, dotNET, https://github.com/0xd4d/dnSpy, cinst -y dnspy.flare
dnsrecon.fireeye,DNS Enumeration Script, common.fireeye - https://chocolatey.org/packages//python2 - libraries.python2.fireeye, Information Gathering,https://github.com/darkoperator/dnsrecon, cinst -y dnsrecon.fireeye
docker.fireeye,Docker, common.fireeye - https://chocolatey.org/packages//docker-desktop - https://chocolatey.org/packages//docker-compose - https://chocolatey.org/packages//docker-cli, Docker, https://www.docker.com/products/docker-desktop, cinst -y docker.fireeye
DomainPasswordSpray.fireeye,DomainPasswordSpray is a tool written in PowerShell to perform a password spray attack against users of a domain., , Password Attacks,https://github.com/dafthack/DomainPasswordSpray, cinst -y DomainPasswordSpray.fireeye
DotNetToJScript.fireeye,A tool to create a JScript file which loads a .NET v2 assembly from memory., , Evasion,https://github.com/tyranid/DotNetToJScript, cinst -y DotNetToJScript.fireeye
dotPeek.flare,.NET decompiler, common.fireeye - https://chocolatey.org/packages//dotPeek, dotNET, http://www.jetbrains.com/decompiler, cinst -y dotPeek.flare
DSInternals.fireeye,Directory Services Internals (DSInternals) PowerShell Module and Framework, , Password Attacks,https://github.com/MichaelGrafnetter/DSInternals, cinst -y DSInternals.fireeye
Egress-Assess.fireeye,Egress-Assess is a tool used to test egress data detection capabilities, common.fireeye - https://chocolatey.org/packages//python2 - libraries.python2.fireeye, Vulnerability,https://github.com/FortyNorthSecurity/Egress-Assess, cinst -y Egress-Assess.fireeye
Elite.fireeye,Elite is the client-side component of the Covenant project., common.fireeye - https://chocolatey.org/packages//dotnetcore-sdk - Covenant.fireeye, Command and Control,https://github.com/cobbr/Elite, cinst -y Elite.fireeye
EvilClippy.fireeye,A cross-platform assistant for creating malicious MS Office documents., , Exploitation,https://github.com/outflanknl/EvilClippy, cinst -y EvilClippy.fireeye
Exchange-AD-Privesc.fireeye,Exchange privilege escalations to Active Directory, , Exploitation,https://github.com/gdedrouas/Exchange-AD-Privesc, cinst -y Exchange-AD-Privesc.fireeye
exe2aut.fireeye,AutoIt decompiler, , Utilities, https://exe2aut.com/, cinst -y exe2aut.fireeye
exeinfope.flare,PE viewer, , Utilities, http://exeinfo.atwebpages.com/, cinst -y exeinfope.flare
explorersuite.flare,PE utility, , Utilities, http://www.ntcore.com/exsuite.php, cinst -y explorersuite.flare
fakenet-ng.python.fireeye,FLARE Fakenet: Network simulation, common.fireeye - common.fireeye - https://chocolatey.org/packages//python2 - libraries.python2.fireeye, Net, https://github.com/fireeye/flare-fakenet-ng, cinst -y fakenet-ng.python.fireeye
fakenet-ng.python.flare,FLARE Fakenet: Network simulation, common.fireeye - https://chocolatey.org/packages//python2 - libraries.python2.fireeye, Net, https://github.com/fireeye/flare-fakenet-ng, cinst -y fakenet-ng.python.flare
farmanager.flare,Midnight commander style file management utility, , Utilities, https://farmanager.com/, cinst -y farmanager.flare
ffdec.flare,Flash decompiler, common.fireeye - https://chocolatey.org/packages//flashplayeractivex, Flash, https://www.free-decompiler.com/flash/, cinst -y ffdec.flare
fiddler.fireeye,Creates a shortcut in the Web Application Directory, common.fireeye - https://chocolatey.org/packages//fiddler, Web Application, http://www.telerik.com/fiddler, cinst -y fiddler.fireeye
fileinsight.flare,Hex editor, , Hex Editor, http://www.mcafee.com/us/downloads/free-tools/fileinsight.aspx, cinst -y fileinsight.flare
firefox.fireeye,Removes desktop shortcut and pins to taskbar, common.fireeye - https://chocolatey.org/packages//firefox, Web Application, https://www.mozilla.org/en-US/firefox/new/, cinst -y firefox.fireeye
flare-floss.fireeye,The FireEye Labs Obfuscated String Solver (FLOSS) uses advanced static analysis techniques to automatically deobfuscate strings from malware binaries. You can use it just like strings.exe to enhance basic static analysis of unknown binaries., common.fireeye - https://chocolatey.org/packages//python2 - https://chocolatey.org/packages//vcpython27 - libraries.python2.fireeye, Utilities, https://github.com/fireeye/flare-floss, cinst -y flare-floss.fireeye
flare-qdb.python.flare,FLARE QDB, common.fireeye - https://chocolatey.org/packages//python2 - https://chocolatey.org/packages//python3 - libraries.python2.fireeye, Debuggers, https://github.com/fireeye/flare-qdb, cinst -y flare-qdb.python.flare
floss.python.flare,Fire Eye Labs Obfuscated String Solver, common.fireeye - https://chocolatey.org/packages//python2 - https://chocolatey.org/packages//vcpython27 - libraries.python2.fireeye, Utilities, https://github.com/fireeye/flare-floss, cinst -y floss.python.flare
FOCA.fireeye,Tool to find metadata and hidden information in the documents., , Information Gathering,https://github.com/ElevenPaths/FOCA, cinst -y FOCA.fireeye
fuzzdb.fireeye,Dictionary of attack patterns and primitives for black-box application fault injection and resource discovery., , Wordlists,https://github.com/fuzzdb-project/fuzzdb, cinst -y fuzzdb.fireeye
Generate-Macro.fireeye,This Powershell script will generate a malicious Microsoft Office document with a specified payload and persistence method., , Exploitation,https://github.com/enigma0x3/Generate-Macro, cinst -y Generate-Macro.fireeye
Get-LAPSPasswords.fireeye,"Powershell function to pull the local admin passwords from LDAP, stored there by LAPS.", , Password Attacks,https://github.com/kfosaaen/Get-LAPSPasswords, cinst -y Get-LAPSPasswords.fireeye
Get-ReconInfo.fireeye,A powershell script that prints a lot of IP and connection info to the screen, , Information Gathering,https://github.com/Raikia/Get-ReconInfo, cinst -y Get-ReconInfo.fireeye
ghidra.fireeye,An open sourced disassembler, common.fireeye - https://chocolatey.org/packages//openjdk11, Disassemblers, https://www.ghidra-sre.org/, cinst -y ghidra.fireeye
gimp.fireeye,Creates a shortcut in the Utilities folder, common.fireeye - https://chocolatey.org/packages//gimp, Utilities, https://www.gimp.org/, cinst -y gimp.fireeye
GoBuster.fireeye,"Directory/File, DNS and VHost busting tool written in Go", , Information Gathering,https://github.com/OJ/gobuster, cinst -y GoBuster.fireeye
GoFetch.fireeye,GoFetch is a tool to automatically exercise an attack plan generated by the BloodHound application., , Exploitation,https://github.com/GoFetchAD/GoFetch/, cinst -y GoFetch.fireeye
googlechrome.fireeye,Google chrome, common.fireeye - https://chocolatey.org/packages//googlechrome, Web Application, https://www.google.com/chrome/browser/, cinst -y googlechrome.fireeye
googlechrome.flare,Google chrome, common.fireeye - https://chocolatey.org/packages//googlechrome, Utilities, https://www.google.com/chrome/, cinst -y googlechrome.flare
gowitness.fireeye,"A golang, web screenshot utility using Chrome Headless", , Information Gathering,https://github.com/sensepost/gowitness, cinst -y gowitness.fireeye
Greenshot.fireeye,Creates a Greenshot shortcut in the Utilities folder and disables auto start for Greenshot, common.fireeye - https://chocolatey.org/packages//greenshot, Utilities, http://getgreenshot.org/, cinst -y Greenshot.fireeye
Grouper2.fireeye,Find vulnerabilities in AD Group Policy, , Vulnerability Analysis,https://github.com/l0ss/Grouper2, cinst -y Grouper2.fireeye
hashcalc.flare,Hash calculator, , Utilities, http://www.slavasoft.com/hashcalc/index.htm, cinst -y hashcalc.flare
hashcat.fireeye,Password cracking utility, common.fireeye - https://chocolatey.org/packages//opencl-intel-cpu-runtime, Password Attacks,https://hashcat.net/hashcat/, cinst -y hashcat.fireeye
hashmyfiles.flare,Hash calculator, , Utilities, https://www.nirsoft.net/utils/hash_my_files.html, cinst -y hashmyfiles.flare
hexchat.fireeye,Creates a HexChat shortcut in the Utilities folder, common.fireeye - https://chocolatey.org/packages//vcredist2015 - https://chocolatey.org/packages//hexchat, Utilities, https://hexchat.github.io/, cinst -y hexchat.fireeye
hxd.fireeye,A hex editor, common.fireeye - https://chocolatey.org/packages//hxd, Utilities, https://mh-nexus.de/en/hxd/, cinst -y hxd.fireeye
hxd.flare,A hex editor, common.fireeye - https://chocolatey.org/packages//chocolatey, Hex Editor, https://mh-nexus.de/en/hxd/, cinst -y hxd.flare
idafree.flare,IDA Free edition, , Disassemblers, https://www.hex-rays.com/products/ida/support/download_freeware.shtml, cinst -y idafree.flare
idafree70.flare,IDA 7.0 Free edition, , Disassemblers, https://www.hex-rays.com/products/ida/support/download_freeware.shtml, cinst -y idafree70.flare
idr.small.flare,Interactive Delphi Reconstructor, , Delphi, http://kpnc.org/idr32/en/, cinst -y idr.small.flare
ilspy.flare,.NET decompiler, common.fireeye - https://chocolatey.org/packages//ilspy, dotNET, http://ilspy.net/, cinst -y ilspy.flare
impacket-examples-windows.fireeye,The great impacket example scripts compiled for Windows, , Exploitation,https://github.com/maaaaz/impacket-examples-windows, cinst -y impacket-examples-windows.fireeye
impacket.fireeye,Impacket is a collection of Python classes for working with network protocols., , Utilities,https://github.com/SecureAuthCorp/impacket, cinst -y impacket.fireeye
innoextract.fireeye,Inno Setup Tool decompiler, , Utilities, http://constexpr.org/innoextract/, cinst -y innoextract.fireeye
innounp.fireeye,Inno Setup Tool Unpacker, , Utilities, http://innounp.sourceforge.net/, cinst -y innounp.fireeye
Internal-Monologue.fireeye,Internal Monologue Attack: Retrieving NTLM Hashes without Touching LSASS, , Password Attacks,https://github.com/eladshamir/Internal-Monologue, cinst -y Internal-Monologue.fireeye
Inveigh.fireeye,Windows PowerShell ADIDNS/LLMNR/mDNS/NBNS spoofer/man-in-the-middle tool, common.fireeye - Invoke-TheHash.fireeye, Password Attacks,https://github.com/Kevin-Robertson/Inveigh, cinst -y Inveigh.fireeye
Invoke-ACLPwn.fireeye,Invoke-ACLpwn is a tool that automates the discovery and pwnage of ACLs in Active Directory that are unsafe configured., , Exploitation,https://github.com/fox-it/Invoke-ACLPwn, cinst -y Invoke-ACLPwn.fireeye
Invoke-CradleCrafter.fireeye,PowerShell Remote Download Cradle Generator & Obfuscator, , Evasion,https://github.com/danielbohannon/Invoke-CradleCrafter, cinst -y Invoke-CradleCrafter.fireeye
Invoke-DCOM.fireeye,Lateral Movement, , Exploitation,https://github.com/rvrsh3ll/Misc-Powershell-Scripts/blob/master/Invoke-DCOM.ps1, cinst -y Invoke-DCOM.fireeye
Invoke-DOSfuscation.fireeye,Cmd.exe Command Obfuscation Generator & Detection Test Harness, , Evasion,https://github.com/danielbohannon/Invoke-DOSfuscation, cinst -y Invoke-DOSfuscation.fireeye
Invoke-Obfuscation.fireeye,PowerShell Obfuscator, , Evasion,https://github.com/danielbohannon/Invoke-Obfuscation, cinst -y Invoke-Obfuscation.fireeye
Invoke-Phant0m.fireeye,Windows Event Log Killer, , Evasion,https://github.com/hlldz/Invoke-Phant0m, cinst -y Invoke-Phant0m.fireeye
Invoke-PowerThIEf.fireeye,"The PowerThIEf, an Internet Explorer Post Exploitation library", , Exploitation,https://github.com/nettitude/Invoke-PowerThIEf, cinst -y Invoke-PowerThIEf.fireeye
Invoke-PSImage.fireeye,Embeds a PowerShell script in the pixels of a PNG file and generates a oneliner to execute, , Exploitation,https://github.com/peewpw/Invoke-PSImage, cinst -y Invoke-PSImage.fireeye
Invoke-TheHash.fireeye,PowerShell Pass The Hash Utils, , Password Attacks,https://github.com/Kevin-Robertson/Invoke-TheHash, cinst -y Invoke-TheHash.fireeye
jd-gui.flare,A standalone Java Decompiler GUI, common.fireeye - https://chocolatey.org/packages//javaruntime, Java, http://jd.benow.ca/, cinst -y jd-gui.flare
juicy-potato.fireeye,A sugared version of RottenPotatoNG with a bit of juice i.e. another Local Privilege Escalation tool from a Windows Service Accounts to NT AUTHORITY\SYSTEM., , Exploitation,https://github.com/ohpe/juicy-potato, cinst -y juicy-potato.fireeye
kali.fireeye,Kali Linux on WSL, common.fireeye - https://chocolatey.org/packages//autohotkey.portable - https://chocolatey.org/packages//vcxsrv - https://chocolatey.org/packages//wsl-kalilinux, Kali, https://www.kali.org/, cinst -y kali.fireeye
kali_windowsbinaries.fireeye,Kali binaries for windows, , Exploitation, http://git.kali.org/gitweb/?p=packages/windows-binaries.git;a=summary, cinst -y kali_windowsbinaries.fireeye
KeeFarce.fireeye,"Extracts passwords from a KeePass 2.x database, directly from memory.", , Password Attacks,https://github.com/denandz/KeeFarce, cinst -y KeeFarce.fireeye
keepass.fireeye,Creates a KeePass shortcut in the Utilities folder and disables auto start for KeePass, common.fireeye - https://chocolatey.org/packages//keepass, Utilities, http://keepass.info/, cinst -y keepass.fireeye
KeeThief.fireeye,"Methods for attacking KeePass 2.X databases, including extracting of encryption key material from memory.", , Password Attacks,https://github.com/HarmJ0y/KeeThief, cinst -y KeeThief.fireeye
kmdloader.flare,Kernel module loader, , Utilities, http://www.novirusthanks.org/products/kernel-mode-driver-loader/, cinst -y kmdloader.flare
LAPSToolkit.fireeye,Tool to audit and attack LAPS environments, , Password Attacks,https://github.com/leoloobeek/LAPSToolkit, cinst -y LAPSToolkit.fireeye
lessmsi.fireeye,This is a utility with a graphical user interface and a command line interface that can be used to view and extract the contents of an MSI file, common.fireeye - https://chocolatey.org/packages//lessmsi, Utilities, https://github.com/activescott/lessmsi, cinst -y lessmsi.fireeye
libraries.go.fireeye,Go lang libraries, common.fireeye - https://chocolatey.org/packages//git - https://chocolatey.org/packages//golang, Utilities, , cinst -y libraries.go.fireeye
libraries.python2.fireeye,Python 2 libraries, common.fireeye - https://chocolatey.org/packages//python2 - https://chocolatey.org/packages//python3, Utilities, https://github.com/fireeye/flare-vm, cinst -y libraries.python2.fireeye
libraries.python2.flare,Python 2 libraries, common.fireeye - https://chocolatey.org/packages//python2 - https://chocolatey.org/packages//python3, Utilities, https://github.com/fireeye/flare-vm, cinst -y libraries.python2.flare
libraries.python3.fireeye,Python 3 libraries, common.fireeye - https://chocolatey.org/packages//python2 - https://chocolatey.org/packages//python3, Utilities, https://github.com/fireeye/flare-vm, cinst -y libraries.python3.fireeye
libraries.python3.flare,Python 3 libraries, common.fireeye - https://chocolatey.org/packages//python2 - https://chocolatey.org/packages//python3, Utilities, https://github.com/fireeye/flare-vm, cinst -y libraries.python3.flare
lordpe.flare,PE utility, , Utilities, http://www.woodmann.com/collaborative/tools/index.php/LordPE, cinst -y lordpe.flare
luckystrike.fireeye,A PowerShell based utility for the creation of malicious Office macro documents., , Exploitation,https://github.com/curi0usJack/luckystrike, cinst -y luckystrike.fireeye
MailSniper.fireeye,MailSniper is a penetration testing tool for searching through email in a Microsoft Exchange environment for specific terms. It can be used as a non-administrative user to search their own email or by an administrator to search the mailboxes of every user in a domain., , Password Attacks,https://github.com/dafthack/MailSniper, cinst -y MailSniper.fireeye
MAP.flare,Malware Analyst Pack, , Utilities, http://sandsprite.com/iDef/MAP/, cinst -y MAP.flare
metasploit.flare,Metasploit for windows, , Exploitation, https://github.com/rapid7/metasploit-framework, cinst -y metasploit.flare
metatwin.fireeye,The project is designed as a file resource cloner. Metadata including digital signature is extracted from one file and injected into another., , Exploitation,https://github.com/threatexpress/metatwin, cinst -y metatwin.fireeye
Mimikatz.fireeye,A little tool to play with Windows security, , Password Attacks,https://github.com/gentilkiwi/mimikatz, cinst -y Mimikatz.fireeye
mimikittenz.fireeye,A post-exploitation powershell tool for extracting juicy info from memory., , Password Attacks,https://github.com/putterpanda/mimikittenz, cinst -y mimikittenz.fireeye
mobaxterm.fireeye,Creates a MobaXTerm shortcut in the Utilities folder, common.fireeye - https://chocolatey.org/packages//mobaxterm, Utilities, http://mobaxterm.mobatek.net/, cinst -y mobaxterm.fireeye
nasm.fireeye,The Netwide Assembler and Disassembler, common.fireeye - https://chocolatey.org/packages//nasm, Developer, http://www.nasm.us/, cinst -y nasm.fireeye
ncat.flare,Netcat utility, , Net, https://nmap.org/ncat/, cinst -y ncat.flare
neo4j-community.fireeye,Installs start/stop scripts for Neo4j in the Utilities folder and disables auto start for Neo4j, common.fireeye - https://chocolatey.org/packages//jdk8 - https://chocolatey.org/packages//neo4j-community, Utilities, http://neo4j.com/, cinst -y neo4j-community.fireeye
NetRipper.fireeye,NetRipper - Smart traffic sniffing for penetration testers, , Information Gathering,https://github.com/NytroRST/NetRipper, cinst -y NetRipper.fireeye
NetshHelperBeacon.fireeye,Example DLL to load from Windows NetShell, , Exploitation,https://github.com/outflanknl/NetshHelperBeacon, cinst -y NetshHelperBeacon.fireeye
nishang.fireeye,Nishang - Offensive PowerShell for red team penetration testing and offensive security., , Exploitation,https://github.com/samratashok/nishang, cinst -y nishang.fireeye
nmap.fireeye,Creates shortcuts for nmap and Zenmap in the Information Gathering folder, , Information Gathering, https://nmap.org/, cinst -y nmap.fireeye
nmap.flare,Creates shortcuts for nmap and Zenmap in the Information Gathering folder, , Net, https://nmap.org/, cinst -y nmap.flare
notepadplusplus-textfx.fireeye,Installs the TextFX plugin for 32 bit Notepad++, , Utilities, , cinst -y notepadplusplus-textfx.fireeye
notepadplusplus.flare,Installs the TextFX plugin for 32 bit Notepad++, common.fireeye - https://chocolatey.org/packages//notepadplusplus, Utilities, https://notepad-plus-plus.org/, cinst -y notepadplusplus.flare
nps.fireeye,Not PowerShell, , Evasion,https://github.com/Ben0xA/nps, cinst -y nps.fireeye
NtdsAudit.fireeye,An Active Directory audit utility, , Vulnerability Analysis,https://github.com/Dionach/NtdsAudit, cinst -y NtdsAudit.fireeye
officemalscanner.flare,Scan office documents for malware, , Office, http://www.reconstructer.org/, cinst -y officemalscanner.flare
offvis.flare,OLESS binary file viewer, , Office, http://www.microsoft.com, cinst -y offvis.flare
oledump.fireeye,A python file to analyze OLE files, common.fireeye - libraries.python2.fireeye, Office, https://didierstevens.com/, cinst -y oledump.fireeye
oletools.fireeye,Python library to analyze OLE files, common.fireeye - libraries.python2.fireeye, Office, https://github.com/decalage2/oletools, cinst -y oletools.fireeye
ollydbg.flare,Olly Debugger, , Debuggers, http://www.ollydbg.de/, cinst -y ollydbg.flare
ollydbg.ollydump.flare,OllyDump module for OllyDebugger, common.fireeye - ollydbg.flare, Utilities, http://www.openrce.org/downloads/details/108/OllyDump, cinst -y ollydbg.ollydump.flare
ollydbg.ollydumpex.flare,OllyDumpEx module for OllyDebugger, common.fireeye - ollydbg.flare, Utilities, https://low-priority.appspot.com/ollydumpex/, cinst -y ollydbg.ollydumpex.flare
ollydbg2.flare,Olly Debugger v.2, , Debuggers, http://www.ollydbg.de/version2.html, cinst -y ollydbg2.flare
ollydbg2.ollydumpex.flare,OllyDumpEx module for OllyDebugger v.2, common.fireeye - ollydbg2.flare, Utilities, https://low-priority.appspot.com/ollydumpex/, cinst -y ollydbg2.ollydumpex.flare
OpenSSL.flare,Open SSL library, , Utilities, https://slproweb.com/products/Win32OpenSSL.html, cinst -y OpenSSL.flare
openvpn.fireeye,Creates an OpenVPN shortcut in the Networking Tools folder and disables auto start for OpenVPN, common.fireeye - https://chocolatey.org/packages//chocolatey - https://chocolatey.org/packages//gpg4win-vanilla - https://chocolatey.org/packages//autohotkey.portable, Networking, https://openvpn.net/index.php/open-source/, cinst -y openvpn.fireeye
orca.fireeye,Creates an Orca shortcut in the Exploitation folder, common.fireeye - https://chocolatey.org/packages//orca, Exploitation, https://msdn.microsoft.com/en-us/library/windows/desktop/aa370557(v=vs.85).aspx, cinst -y orca.fireeye
pafishmacro.fireeye,Pafish Macro is a Macro enabled Office Document to detect malware analysis systems and sandboxes. It uses evasion & detection techniques implemented by malicious documents., , Evasion,https://github.com/joesecurity/pafishmacro, cinst -y pafishmacro.fireeye
PayloadsAllTheThings.fireeye,A list of useful payloads and bypass for Web Application Security and Pentest/CTF, , Wordlists,https://github.com/swisskyrepo/PayloadsAllTheThings, cinst -y PayloadsAllTheThings.fireeye
pdfid.flare,Creates a Pidgin Shortcut in the Utilities folder, common.fireeye - https://chocolatey.org/packages//python2 - libraries.python2.fireeye, PDF, https://didierstevens.com/, cinst -y pdfid.flare
pdfparser.flare,A python PDF parser, common.fireeye - https://chocolatey.org/packages//python2 - libraries.python2.fireeye, PDF, https://didierstevens.com/, cinst -y pdfparser.flare
PdfStreamDumper.flare,A utility to view and dump streams from a PDF, , PDF, http://sandsprite.com/tools.php?id=17, cinst -y PdfStreamDumper.flare
pebear.flare,A freeware reversing tool for analyzing PE, , Utilities, https://hshrzd.wordpress.com/pe-bear/, cinst -y pebear.flare
peid.flare,PeID utility, , Utilities, https://www.aldeid.com/wiki/PEiD, cinst -y peid.flare
pesieve.fireeye,Scan a process to detect and dump potential implants, common.fireeye - https://chocolatey.org/packages//pesieve, Utilities, https://hshrzd.wordpress.com/pe-sieve/, cinst -y pesieve.fireeye
pestudio.flare,PE Viewer, , Utilities, https://www.winitor.com, cinst -y pestudio.flare
peview.flare,PE Viewer, , Utilities, http://wjradburn.com/software/, cinst -y peview.flare
